OMNeT++ Discrete Event Simulation  (C) 1992-2021 Andras Varga, OpenSim Ltd.
Version: 5.7, build: 211004-1d27e5f35e, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer

Starting...

$ cd /home/veins/src/veins/examples/veins
$ opp_run -m -n .:../../src/veins --image-path=../../images -l ../../src/veins omnet.ini

Setting up Qtenv...

Loading NED files from .:  1
Loading NED files from ../../src/veins:  43

Loading images from '/home/veins/src/veins/images': *: 0  veins/*: 0  veins/node/*: 45  veins/sign/*: 5 
Loading images from '/home/veins/src/omnetpp-5.7/images': *: 0  abstract/*: 90  background/*: 4  block/*: 320  device/*: 195  logo/*: 1  maps/*: 9  misc/*: 70  msg/*: 55  old/*: 111  status/*: 28 

Meu ID: 28 | Minha Posição: (50.4562,526.6,0) |  |  |  | Velocidade: 8.28462 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (360.783,526.6,0) |  |  |  | Velocidade: 14.3125 | Aceleração: 6.0279 m/s²
Meu ID: 22 | Minha Posição: (194.511,526.6,0) |  |  |  | Velocidade: 14.309 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (60.6045,526.6,0) |  |  |  | Velocidade: 10.1482 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (375.932,526.6,0) |  |  |  | Velocidade: 15.1485 | Aceleração: 5.00025 m/s²
Meu ID: 22 | Minha Posição: (208.459,526.6,0) |  |  |  | Velocidade: 13.9484 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (73.1824,526.6,0) |  |  |  | Velocidade: 12.5779 | Aceleração: -inf m/s²
Meu ID: 16 | Minha Posição: (391.028,526.6,0) |  |  |  | Velocidade: 15.0966 | Aceleração: 2.51863 m/s²
Meu ID: 22 | Minha Posição: (221.954,526.6,0) |  |  |  | Velocidade: 13.4944 | Aceleração: -inf m/s²
Meu ID: 28 | Minha Posição: (87.4323,526.6,0) |  |  |  | Velocidade: 14.2499 | Aceleração: inf m/s²
